"job.id","problem","algorithm","seed","observation_variance","random_effect_ar1_correlation","random_effect_variance_ratio","prop_observed","n_timepoints","grpdiff_function","cross_sectional","independent","penalty.adaptive"
1,"synthetic","LSVCMM",1,1,1,0,1,31,"sine",FALSE,FALSE,1
2,"synthetic","LSVCMM",1,1,1,0.2,1,31,"sine",FALSE,FALSE,1
3,"synthetic","LSVCMM",1,1,1,0.5,1,31,"sine",FALSE,FALSE,1
4,"synthetic","LSVCMM",1,1,1,1,1,31,"sine",FALSE,FALSE,1
5,"synthetic","LSVCMM",1,1,1,1.5,1,31,"sine",FALSE,FALSE,1
6,"synthetic","LSVCMM",1,1,1,2,1,31,"sine",FALSE,FALSE,1
7,"synthetic","LSVCMM",1,1,1,4,1,31,"sine",FALSE,FALSE,1
8,"synthetic","LSVCMM",2,1,1,0,1,31,"sine",FALSE,FALSE,1
9,"synthetic","LSVCMM",2,1,1,0.2,1,31,"sine",FALSE,FALSE,1
10,"synthetic","LSVCMM",2,1,1,0.5,1,31,"sine",FALSE,FALSE,1
11,"synthetic","LSVCMM",2,1,1,1,1,31,"sine",FALSE,FALSE,1
12,"synthetic","LSVCMM",2,1,1,1.5,1,31,"sine",FALSE,FALSE,1
13,"synthetic","LSVCMM",2,1,1,2,1,31,"sine",FALSE,FALSE,1
14,"synthetic","LSVCMM",2,1,1,4,1,31,"sine",FALSE,FALSE,1
15,"synthetic","LSVCMM",3,1,1,0,1,31,"sine",FALSE,FALSE,1
16,"synthetic","LSVCMM",3,1,1,0.2,1,31,"sine",FALSE,FALSE,1
17,"synthetic","LSVCMM",3,1,1,0.5,1,31,"sine",FALSE,FALSE,1
18,"synthetic","LSVCMM",3,1,1,1,1,31,"sine",FALSE,FALSE,1
19,"synthetic","LSVCMM",3,1,1,1.5,1,31,"sine",FALSE,FALSE,1
20,"synthetic","LSVCMM",3,1,1,2,1,31,"sine",FALSE,FALSE,1
21,"synthetic","LSVCMM",3,1,1,4,1,31,"sine",FALSE,FALSE,1
22,"synthetic","LSVCMM",4,1,1,0,1,31,"sine",FALSE,FALSE,1
23,"synthetic","LSVCMM",4,1,1,0.2,1,31,"sine",FALSE,FALSE,1
24,"synthetic","LSVCMM",4,1,1,0.5,1,31,"sine",FALSE,FALSE,1
25,"synthetic","LSVCMM",4,1,1,1,1,31,"sine",FALSE,FALSE,1
26,"synthetic","LSVCMM",4,1,1,1.5,1,31,"sine",FALSE,FALSE,1
27,"synthetic","LSVCMM",4,1,1,2,1,31,"sine",FALSE,FALSE,1
28,"synthetic","LSVCMM",4,1,1,4,1,31,"sine",FALSE,FALSE,1
29,"synthetic","LSVCMM",5,1,1,0,1,31,"sine",FALSE,FALSE,1
30,"synthetic","LSVCMM",5,1,1,0.2,1,31,"sine",FALSE,FALSE,1
31,"synthetic","LSVCMM",5,1,1,0.5,1,31,"sine",FALSE,FALSE,1
32,"synthetic","LSVCMM",5,1,1,1,1,31,"sine",FALSE,FALSE,1
33,"synthetic","LSVCMM",5,1,1,1.5,1,31,"sine",FALSE,FALSE,1
34,"synthetic","LSVCMM",5,1,1,2,1,31,"sine",FALSE,FALSE,1
35,"synthetic","LSVCMM",5,1,1,4,1,31,"sine",FALSE,FALSE,1
