"job.id","problem","algorithm","n_subjects","prop_observed","observation_variance","random_effect_ar1_correlation","random_effect_variance_ratio","effect_size","n_timepoints","grpdiff_function","missingness","seed","cross_sectional","independent","penalty.adaptive","kernel.scale"
1,"synthetic","LSVCMM",100,0.3,1,1,1,1,10,"sine","sqrt",1,FALSE,FALSE,0.5,0.2
2,"synthetic","LSVCMM",100,0.3,1,1,1,1,10,"sine","sqrt",2,FALSE,FALSE,0.5,0.2
3,"synthetic","LSVCMM",100,0.3,1,1,1,1,10,"sine","sqrt",3,FALSE,FALSE,0.5,0.2
4,"synthetic","LSVCMM",100,0.3,1,1,1,1,10,"sine","sqrt",4,FALSE,FALSE,0.5,0.2
5,"synthetic","LSVCMM",100,0.3,1,1,1,1,10,"sine","sqrt",5,FALSE,FALSE,0.5,0.2
6,"synthetic","LSVCMM",100,0.3,1,1,1,1,10,"sine","sqrt",6,FALSE,FALSE,0.5,0.2
7,"synthetic","LSVCMM",100,0.3,1,1,1,1,10,"sine","sqrt",7,FALSE,FALSE,0.5,0.2
8,"synthetic","LSVCMM",100,0.3,1,1,1,1,10,"sine","sqrt",8,FALSE,FALSE,0.5,0.2
9,"synthetic","LSVCMM",100,0.3,1,1,1,1,10,"sine","sqrt",9,FALSE,FALSE,0.5,0.2
10,"synthetic","LSVCMM",100,0.3,1,1,1,1,10,"sine","sqrt",10,FALSE,FALSE,0.5,0.2
11,"synthetic","LSVCMM",100,0.3,1,1,1,1,10,"sine","sqrt",11,FALSE,FALSE,0.5,0.2
12,"synthetic","LSVCMM",100,0.3,1,1,1,1,10,"sine","sqrt",12,FALSE,FALSE,0.5,0.2
13,"synthetic","LSVCMM",100,0.3,1,1,1,1,10,"sine","sqrt",13,FALSE,FALSE,0.5,0.2
14,"synthetic","LSVCMM",100,0.3,1,1,1,1,10,"sine","sqrt",14,FALSE,FALSE,0.5,0.2
15,"synthetic","LSVCMM",100,0.3,1,1,1,1,10,"sine","sqrt",15,FALSE,FALSE,0.5,0.2
